id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description,Therapist_Name,Therapist_Password
522,"skin boils, gout",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,qHL62LMP,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Suresh Pillai,ayZY05PW
523,gastric problem,Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,PDdTBRLN,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Rohit Gupta,b5uYXg9i
524,"sinus, stuffy nose, migraine",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,A1U9Ub57,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Kavita Bansal,aZWgOfid
525,ulcer,Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,fHuXzNH2,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Sneha Iyer,vBndzWpe
526,"ulcer, inflammation",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,XdHI81Ld,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Kavita Bansal,ouIpapn8
527,"cough, bronchitis, asthma",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,ttWSsw9t,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Pooja Nair,wmBNGScx
528,"pimples, acidity",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,EZc7E6Sf,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Kavita Bansal,d9nnpF7R
529,"arthritis, gastric problem",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,Ls6kacUC,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Anjali Das,t7MccLeM
530,liver problem,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,m8lAaOYq,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Pooja Nair,vl5lt3qE
531,"sinus, migraine, cold",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,sHMD3f6E,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies.",Dr. Pooja Nair,VdkybY1h
532,skin rashes,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,tNeJwgQL,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Rohit Gupta,azAGG9K9
533,"ulcer, blood impure, inflammation",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,2mFrt1Uk,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Manish Agarwal,TUA5zohb
534,"ulcer, inflammation",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,tFRtLzSr,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Sneha Iyer,6V7qqG3Z
535,"back pain, indigestion, joint pain",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,BPrTvfId,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Arjun Kapoor,Qi8W4Uw1
536,"eczema, pimples, liver problem",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,Z43nVtYA,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Manish Agarwal,mjSFq06L
537,pimples,Vaidya Seema Verma,Virechana,vaidya.seema.verma,7CKutzg6,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Arjun Kapoor,kBQoiMX3
538,"nose block, cold, migraine",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,Z1whgqly,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Anjali Das,m4U92Jim
539,"acne, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,lyJ9wnxY,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Suresh Pillai,6dOXc98A
540,"allergy, stuffy nose, sinus",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,AHKfKZEe,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Arjun Kapoor,rOaQbuK7
541,"blood impure, gout",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,ZyXqdYPJ,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Aditi Sharma,JiZpYNDa
542,"obesity, bronchitis",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,O1SJbe6i,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Ritu Malhotra,Yx1YIken
543,"allergy, cold",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,QXq1ZW8Z,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Rohit Gupta,dt7Fi6u9
544,pimples,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,edku5mvZ,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Aditi Sharma,Yc6xK9ur
545,"allergy, skin rashes, acidity",Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,wHclBHdu,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Sneha Iyer,tfJkGwNE
546,"kapha disorder, respiratory issue, asthma",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,j4YQaR1d,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Suresh Pillai,wCV1zVeW
547,"skin boils, ulcer, acne",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,OUtltgUW,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Vivek Rao,XvzA89Nz
548,acne,Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,Z60K8drf,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Priya Reddy,fiGcty4c
549,"pimples, allergy, acidity",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,OnUIICrl,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.,Dr. Karan Singh,LiPtTQvX
550,"cough, bronchitis",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,qj3otybO,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Ritu Malhotra,CBew73Qd
551,back pain,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,GDxLkeVX,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Karan Singh,dDOZ5CBi
552,"skin rashes, liver problem, allergy",Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,01k4WEuo,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities.",Dr. Neha Verma,8f7idVar
553,stuffy nose,Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,mOIYviHT,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Neha Verma,hZL15I9K
554,headache,Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,IwKcRqnC,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Suresh Pillai,9GIndHD6
555,"joint pain, arthritis, back pain",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,ANsPY6y5,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Ritu Malhotra,mAWPgVLm
556,"kapha disorder, bronchitis, obesity",Vaidya Lata More,Vamana,vaidya.lata.more,8UnmbFMk,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices.",Dr. Suresh Pillai,JxhYzG6T
557,"migraine, allergy, stuffy nose",Vaidya Priya Nair,Nasya,vaidya.priya.nair,fAMH4hb0,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Pooja Nair,EWipc2Tj
558,skin boils,Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,1SeU0gQU,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.,Dr. Suresh Pillai,04dhcaR8
559,"indigestion, constipation",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,AFAiJSfc,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rohit Gupta,IgOY5tD0
560,"inflammation, skin boils, acne",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,Jtaanafc,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Neha Verma,0Wvaldo9
561,"allergy, nose block, headache",Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,CwCMuCMD,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Priya Reddy,54pxHTwB
562,"acne, ulcer, skin boils",Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,X3RSrIYW,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma.",Dr. Arjun Kapoor,1LZJSLhI
563,gastric problem,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,QKvOC71y,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Rohit Gupta,Xei8OQAG
564,"blood impure, acne",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,AuLFK9c5,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Kavita Bansal,9THSqoVu
565,"psoriasis, liver problem",Vaidya Seema Verma,Virechana,vaidya.seema.verma,Zjtij6ND,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Kavita Bansal,oXZ9WzBC
566,skin rashes,Vaidya Anjali Nair,Virechana,vaidya.anjali.nair,LVWm0GxV,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Priya Reddy,lyEmdtkL
567,"nose block, migraine, cold",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,eRRVzHwD,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Rajesh Mehta,uTDjPzgG
568,ulcer,Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,5a9arfT7,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.,Dr. Manish Agarwal,N9uQCqOY
569,migraine,Vaidya Vivek Kulkarni,Nasya,vaidya.vivek.kulkarni,kWAIoHa6,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.,Dr. Karan Singh,Ry8YJYKh
570,"eczema, psoriasis",Vaidya Tarun Bhosale,Virechana,vaidya.tarun.bhosale,X7s1i0xW,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.,Dr. Anjali Das,ByJvZmmd
571,"headache, sinus, allergy",Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,5ivaGjnd,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda.",Dr. Arjun Kapoor,P0F7pHm5
572,acne,Vaidya Ashok Kulkarni,Raktamokshana,vaidya.ashok.kulkarni,eJru8iAn,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.,Dr. Priya Reddy,e2J5lQOk
573,obesity,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,kJ4Hza4r,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Manish Agarwal,t0oND55P
574,"nose block, stuffy nose",Vaidya Priya Nair,Nasya,vaidya.priya.nair,yQ4eOTnu,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health.",Dr. Rajesh Mehta,EAG5WbO0
575,ulcer,Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,SeXVWgDX,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Rohit Gupta,v9QAOi9W
576,"constipation, back pain, indigestion",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,W2cGlpw6,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Anjali Das,DGwBp3IL
577,"inflammation, acne, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,Hu4lc65w,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.,Dr. Priya Reddy,4hGZJDJK
578,"back pain, gastric problem",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,ACpZRSyH,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness.",Dr. Kavita Bansal,FxYGlpOJ
579,"acne, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,cO8unMh4,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Neha Verma,ftoQQB7F
580,indigestion,Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,0hDoTuCt,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management.",Dr. Arjun Kapoor,D2YQduAV
581,acidity,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,sOfJREMP,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Vivek Rao,jTJ9l61k
582,"respiratory issue, kapha disorder",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,r3L6BwX7,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.,Dr. Aditi Sharma,QfAd11TE
583,"allergy, pimples",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,M7yUZSeS,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award.",Dr. Manish Agarwal,VvbjNmFa
584,"bronchitis, asthma",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,IapaL2mx,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award.",Dr. Anjali Das,Me7zSDVF
